,id,TYM,SGNC,SGNO
298,SA151,-21.12920546,-0.218630864,-7.528692785
299,SA152,-19.71181059,-7.211589596,-2.799963043
300,SA153,-18.29441573,0.143061449,1.626865746
301,SA154,-9.790046546,-1.197869418,0.934048055
302,SA155,-20.6567405,1.119453133,-1.029486878
303,SA157,-14.51469609,1.642842144,-9.054760806
304,SA159,-6.482791863,-2.911828334,-2.912506821
305,SA160,16.66799092,7.043635865,-1.601292502
306,SA161,11.94334137,-0.078960077,5.052982504
307,SA163,-9.790046546,-10.90216548,-4.768908107
308,SA164,-22.54660032,-3.322601518,-1.979354529
309,SA165,6.273761913,-5.97116172,-3.627360696
310,SA166,-19.71181059,-1.35247873,-8.361093524
311,SA167,-21.12920546,4.211730336,5.464926925
312,SA168,10.52594651,-1.673949444,-2.987887878
313,SA169,-19.71181059,6.104913995,0.320573895
314,SA170,-6.955256818,-0.488234509,-2.790675451
315,SA171,-19.23934564,-3.64031034,-4.754023657
316,SA172,-22.07413537,-3.398816514,-8.916027349
317,SA173,-19.71181059,-0.156737083,-8.361093524
318,SA174,-10.73497646,-4.173498342,-4.754023657
319,SA175,1.076647412,-2.695897501,-1.945762289
320,SA176,-21.12920546,-0.894728595,-5.961575156
321,SA177,-21.60167041,1.096540681,-5.911840744
322,SA178,-5.065396999,-6.352997201,5.598091048
323,SA117a,-11.20744141,-3.462164962,1.64170416
